#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2015-01-01 00:00:00+00:00 2015-01-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	lon	lat	 tmpc 	  dwpc 	  relh 	  drct 	  sped 	  p01m 	  vsby 	  gust_mph
NYC	2015-01-03 21:51	-73.9693	40.7790	2.20	0.00	85.37	70.00	8.1	1.52	3.00	M
JFK	2015-01-03 21:51	-73.7622	40.6386	4.40	2.20	85.61	90.00	12.7	2.29	7.00	M
LGA	2015-01-03 21:51	-73.8803	40.7794	2.20	1.10	92.43	50.00	10.4	1.27	1.00	M
NYC	2015-01-03 22:04	-73.9693	40.7790	2.20	0.60	89.16	70.00	5.8	0.25	2.50	M
NYC	2015-01-03 22:31	-73.9693	40.7790	2.20	0.60	89.16	80.00	5.8	1.78	3.00	M
NYC	2015-01-03 22:38	-73.9693	40.7790	2.20	0.60	89.16	80.00	3.5	2.54	2.00	M
NYC	2015-01-03 22:51	-73.9693	40.7790	2.80	1.10	88.57	M	4.6	3.05	3.00	M
JFK	2015-01-03 22:51	-73.7622	40.6386	5.60	3.30	85.13	90.00	13.8	3.81	4.00	21.9
LGA	2015-01-03 22:51	-73.8803	40.7794	2.20	1.10	92.43	60.00	8.1	2.79	1.00	M
LGA	2015-01-03 22:53	-73.8803	40.7794	2.00	1.00	93.08	60.00	8.1	0.00	2.00	M
NYC	2015-01-03 23:14	-73.9693	40.7790	2.80	1.10	88.57	60.00	6.9	0.25	2.50	M
NYC	2015-01-03 23:40	-73.9693	40.7790	2.80	1.70	92.46	70.00	4.6	1.27	3.00	M
LGA	2015-01-03 23:51	-73.8803	40.7794	2.80	1.70	92.46	40.00	10.4	1.52	2.00	M
JFK	2015-01-03 23:51	-73.7622	40.6386	6.70	4.40	85.25	100.00	16.1	3.05	5.00	M
NYC	2015-01-03 23:51	-73.9693	40.7790	2.80	1.70	92.46	M	5.8	1.52	2.50	M
NYC	2015-01-04 00:28	-73.9693	40.7790	3.30	1.70	89.25	80.00	5.8	1.78	3.00	M
NYC	2015-01-04 00:35	-73.9693	40.7790	3.30	1.70	89.25	70.00	5.8	2.03	2.00	M
JFK	2015-01-04 00:51	-73.7622	40.6386	6.70	5.00	88.90	80.00	12.7	2.29	2.00	M
LGA	2015-01-04 00:51	-73.8803	40.7794	3.30	2.20	92.49	50.00	11.5	2.29	2.00	M
NYC	2015-01-04 00:51	-73.9693	40.7790	3.90	2.20	88.66	M	5.8	3.05	2.00	M
LGA	2015-01-04 01:10	-73.8803	40.7794	3.00	3.00	100.00	50.00	13.8	0.00	2.00	M
NYC	2015-01-04 01:34	-73.9693	40.7790	3.90	2.20	88.66	80.00	6.9	0.25	3.00	M
LGA	2015-01-04 01:51	-73.8803	40.7794	3.30	2.80	96.52	50.00	11.5	0.76	2.00	M
JFK	2015-01-04 01:51	-73.7622	40.6386	7.80	5.60	85.97	80.00	15.0	2.79	5.00	M
NYC	2015-01-04 01:51	-73.9693	40.7790	4.40	2.80	89.34	60.00	9.2	0.76	2.50	M
NYC	2015-01-04 01:59	-73.9693	40.7790	4.40	2.80	89.34	70.00	4.6	0.00	3.00	M
NYC	2015-01-04 02:10	-73.9693	40.7790	4.40	2.80	89.34	70.00	5.8	0.25	2.50	M
NYC	2015-01-04 02:38	-73.9693	40.7790	4.40	2.80	89.34	70.00	8.1	1.27	4.00	M
JFK	2015-01-04 02:51	-73.7622	40.6386	7.80	6.10	88.99	50.00	9.2	1.52	2.00	M
NYC	2015-01-04 02:51	-73.9693	40.7790	4.40	3.30	92.56	80.00	8.1	1.52	3.00	M
LGA	2015-01-04 02:51	-73.8803	40.7794	3.90	3.30	95.86	50.00	12.7	1.78	2.00	M
LGA	2015-01-04 02:59	-73.8803	40.7794	4.00	3.00	93.19	50.00	12.7	0.25	2.00	M
JFK	2015-01-04 03:02	-73.7622	40.6386	8.00	6.00	87.19	50.00	8.1	0.51	1.00	M
NYC	2015-01-04 03:14	-73.9693	40.7790	5.00	3.30	88.76	70.00	5.8	0.51	2.00	M
LGA	2015-01-04 03:25	-73.8803	40.7794	4.00	4.00	100.00	40.00	12.7	0.76	2.00	M
NYC	2015-01-04 03:51	-73.9693	40.7790	5.00	3.30	88.76	M	6.9	1.27	2.50	M
JFK	2015-01-04 03:51	-73.7622	40.6386	7.80	6.70	92.75	350.00	9.2	1.78	1.00	M
LGA	2015-01-04 03:51	-73.8803	40.7794	4.40	3.90	96.55	50.00	13.8	1.27	2.00	M
NYC	2015-01-04 04:08	-73.9693	40.7790	5.00	3.30	88.76	60.00	8.1	0.00	4.00	M
NYC	2015-01-04 04:29	-73.9693	40.7790	5.00	3.90	92.59	70.00	8.1	0.25	2.00	M
JFK	2015-01-04 04:51	-73.7622	40.6386	6.10	5.00	92.65	360.00	6.9	2.03	1.00	M
NYC	2015-01-04 04:51	-73.9693	40.7790	5.60	3.90	88.81	70.00	6.9	0.51	3.00	M
LGA	2015-01-04 04:51	-73.8803	40.7794	5.00	4.40	95.90	50.00	12.7	1.02	2.00	M
NYC	2015-01-04 05:11	-73.9693	40.7790	5.60	3.90	88.81	M	6.9	1.27	2.50	M
LGA	2015-01-04 05:19	-73.8803	40.7794	5.00	4.00	93.24	50.00	12.7	1.52	2.00	M
NYC	2015-01-04 05:39	-73.9693	40.7790	5.60	4.40	91.98	M	4.6	3.81	3.00	M
NYC	2015-01-04 05:51	-73.9693	40.7790	5.60	4.40	91.98	40.00	3.5	4.06	5.00	M
LGA	2015-01-04 05:51	-73.8803	40.7794	5.00	4.40	95.90	60.00	10.4	3.81	2.00	M
JFK	2015-01-04 05:51	-73.7622	40.6386	6.70	5.00	88.90	50.00	5.8	3.05	2.00	M
LGA	2015-01-04 05:58	-73.8803	40.7794	5.00	4.00	93.24	60.00	9.2	0.25	2.00	M
NYC	2015-01-04 06:35	-73.9693	40.7790	6.10	5.00	92.65	70.00	4.6	0.51	2.50	M
LGA	2015-01-04 06:51	-73.8803	40.7794	5.00	4.40	95.90	60.00	6.9	0.51	2.00	M
JFK	2015-01-04 06:51	-73.7622	40.6386	6.70	5.60	92.69	10.00	4.6	0.25	1.00	M
NYC	2015-01-04 06:51	-73.9693	40.7790	6.10	5.00	92.65	M	3.5	0.51	2.50	M
NYC	2015-01-04 07:02	-73.9693	40.7790	6.10	5.00	92.65	70.00	4.6	0.00	3.00	M
NYC	2015-01-04 07:22	-73.9693	40.7790	6.10	4.40	88.85	70.00	3.5	0.00	2.00	M
NYC	2015-01-04 07:29	-73.9693	40.7790	6.10	5.00	92.65	0.00	0.0	0.25	1.50	M
NYC	2015-01-04 07:51	-73.9693	40.7790	6.10	4.40	88.85	360.00	3.5	0.25	1.25	M
LGA	2015-01-04 07:51	-73.8803	40.7794	5.00	5.00	100.00	40.00	4.6	0.25	2.00	M
JFK	2015-01-04 07:51	-73.7622	40.6386	7.20	6.70	96.63	0.00	0.0	0.76	1.00	M
NYC	2015-01-04 08:08	-73.9693	40.7790	6.10	5.00	92.65	0.00	0.0	0.00	2.50	M
NYC	2015-01-04 08:28	-73.9693	40.7790	5.60	4.40	91.98	0.00	0.0	0.00	0.75	M
NYC	2015-01-04 08:40	-73.9693	40.7790	5.60	4.40	91.98	0.00	0.0	0.00	1.25	M
JFK	2015-01-04 08:41	-73.7622	40.6386	7.00	6.00	93.35	280.00	4.6	0.00	0.50	M
JFK	2015-01-04 08:51	-73.7622	40.6386	7.20	5.60	89.56	0.00	0.0	0.00	0.50	M
NYC	2015-01-04 08:51	-73.9693	40.7790	5.00	4.40	95.90	0.00	0.0	0.00	1.50	M
LGA	2015-01-04 08:51	-73.8803	40.7794	5.00	4.40	95.90	0.00	0.0	0.25	2.00	M
LGA	2015-01-04 08:58	-73.8803	40.7794	5.00	4.00	93.24	0.00	0.0	0.00	1.25	M
NYC	2015-01-04 09:12	-73.9693	40.7790	5.60	4.40	91.98	0.00	0.0	0.00	0.75	M
LGA	2015-01-04 09:15	-73.8803	40.7794	5.00	4.00	93.24	120.00	3.5	0.00	1.00	M
NYC	2015-01-04 09:20	-73.9693	40.7790	5.60	4.40	91.98	0.00	0.0	0.00	2.00	M
LGA	2015-01-04 09:27	-73.8803	40.7794	5.00	4.00	93.24	120.00	3.5	0.00	1.25	M
LGA	2015-01-04 09:29	-73.8803	40.7794	5.00	4.00	93.24	120.00	3.5	0.00	0.25	M
NYC	2015-01-04 09:35	-73.9693	40.7790	5.00	3.90	92.59	0.00	0.0	0.00	1.50	M
NYC	2015-01-04 09:44	-73.9693	40.7790	5.60	4.40	91.98	300.00	3.5	0.00	2.50	M
NYC	2015-01-04 09:51	-73.9693	40.7790	5.60	4.40	91.98	0.00	0.0	0.00	3.00	M
JFK	2015-01-04 09:51	-73.7622	40.6386	6.70	5.00	88.90	250.00	6.9	0.00	0.25	M
LGA	2015-01-04 09:51	-73.8803	40.7794	5.00	5.00	100.00	0.00	0.0	0.00	0.25	M
NYC	2015-01-04 10:00	-73.9693	40.7790	6.10	5.00	92.65	M	3.5	0.00	2.50	M
NYC	2015-01-04 10:09	-73.9693	40.7790	7.20	5.60	89.56	M	5.8	0.00	3.00	M
NYC	2015-01-04 10:22	-73.9693	40.7790	6.70	5.60	92.69	M	4.6	0.00	4.00	M
LGA	2015-01-04 10:24	-73.8803	40.7794	6.00	6.00	100.00	0.00	0.0	0.00	0.25	M
JFK	2015-01-04 10:36	-73.7622	40.6386	7.00	6.00	93.35	240.00	10.4	0.00	5.00	M
LGA	2015-01-04 10:51	-73.8803	40.7794	6.70	6.10	95.95	230.00	4.6	0.00	2.00	M
JFK	2015-01-04 10:51	-73.7622	40.6386	7.80	6.10	88.99	250.00	11.5	0.00	5.00	M
NYC	2015-01-04 10:51	-73.9693	40.7790	7.20	6.10	92.72	M	6.9	0.25	5.00	19.6
LGA	2015-01-04 11:23	-73.8803	40.7794	7.00	7.00	100.00	230.00	6.9	0.00	7.00	M
JFK	2015-01-04 11:42	-73.7622	40.6386	8.00	7.00	93.40	250.00	8.1	0.00	7.00	M
LGA	2015-01-04 11:44	-73.8803	40.7794	7.00	6.00	93.35	220.00	9.2	0.00	8.00	16.1
LGA	2015-01-04 11:51	-73.8803	40.7794	7.20	6.10	92.72	220.00	9.2	0.00	8.00	M
JFK	2015-01-04 11:51	-73.7622	40.6386	7.80	6.70	92.75	250.00	9.2	0.00	7.00	M
NYC	2015-01-04 11:51	-73.9693	40.7790	7.20	5.60	89.56	M	5.8	0.00	9.00	19.6
LGA	2015-01-04 12:51	-73.8803	40.7794	7.20	6.10	92.72	220.00	8.1	1.02	7.00	M
NYC	2015-01-04 12:51	-73.9693	40.7790	6.70	5.00	88.90	250.00	8.1	1.02	8.00	17.3
JFK	2015-01-04 12:51	-73.7622	40.6386	7.80	6.70	92.75	240.00	11.5	2.03	6.00	M
LGA	2015-01-04 13:51	-73.8803	40.7794	7.20	5.60	89.56	220.00	6.9	0.00	8.00	16.1
JFK	2015-01-04 13:51	-73.7622	40.6386	7.80	6.70	92.75	210.00	5.8	0.00	8.00	M
NYC	2015-01-04 13:51	-73.9693	40.7790	7.20	5.00	85.90	230.00	5.8	0.00	10.00	17.3
NYC	2015-01-04 14:01	-73.9693	40.7790	7.20	5.00	85.90	0.00	0.0	0.00	7.00	M
LGA	2015-01-04 14:12	-73.8803	40.7794	8.00	6.00	87.19	190.00	8.1	0.00	8.00	M
LGA	2015-01-04 14:41	-73.8803	40.7794	8.00	6.00	87.19	200.00	11.5	0.00	8.00	19.6
NYC	2015-01-04 14:44	-73.9693	40.7790	7.80	6.10	88.99	M	4.6	0.00	10.00	M
JFK	2015-01-04 14:51	-73.7622	40.6386	8.30	7.20	92.78	200.00	11.5	0.00	10.00	M
NYC	2015-01-04 14:51	-73.9693	40.7790	7.80	6.10	88.99	M	4.6	0.00	10.00	M
LGA	2015-01-04 14:51	-73.8803	40.7794	7.80	6.10	88.99	190.00	8.1	0.00	8.00	M
NYC	2015-01-04 15:36	-73.9693	40.7790	8.30	6.70	89.65	M	4.6	0.25	10.00	M
JFK	2015-01-04 15:49	-73.7622	40.6386	9.00	7.00	87.28	190.00	8.1	0.00	10.00	M
LGA	2015-01-04 15:51	-73.8803	40.7794	8.30	7.20	92.78	230.00	6.9	0.00	8.00	M
NYC	2015-01-04 15:51	-73.9693	40.7790	8.30	6.70	89.65	M	6.9	0.25	10.00	18.4
JFK	2015-01-04 15:51	-73.7622	40.6386	8.90	7.80	92.81	200.00	8.1	0.00	10.00	M
LGA	2015-01-04 15:54	-73.8803	40.7794	8.00	7.00	93.40	220.00	4.6	0.00	8.00	M
JFK	2015-01-04 16:02	-73.7622	40.6386	9.00	7.00	87.28	210.00	9.2	0.00	0.50	M
JFK	2015-01-04 16:22	-73.7622	40.6386	9.00	8.00	93.45	180.00	9.2	0.00	0.12	M
JFK	2015-01-04 16:51	-73.7622	40.6386	10.00	8.30	89.17	180.00	10.4	0.25	0.25	M
NYC	2015-01-04 16:51	-73.9693	40.7790	10.00	8.30	89.17	240.00	8.1	0.00	10.00	17.3
LGA	2015-01-04 16:51	-73.8803	40.7794	10.00	8.30	89.17	210.00	12.7	0.00	5.00	M
LGA	2015-01-04 17:21	-73.8803	40.7794	10.00	9.00	93.50	180.00	9.2	0.00	5.00	M
NYC	2015-01-04 17:22	-73.9693	40.7790	9.40	8.30	92.84	M	6.9	0.00	6.00	M
NYC	2015-01-04 17:43	-73.9693	40.7790	10.60	8.90	89.22	270.00	9.2	0.00	7.00	21.9
JFK	2015-01-04 17:48	-73.7622	40.6386	11.00	9.00	87.47	190.00	5.8	0.00	2.00	M
JFK	2015-01-04 17:51	-73.7622	40.6386	10.60	10.00	96.07	190.00	6.9	0.00	2.00	M
LGA	2015-01-04 17:51	-73.8803	40.7794	10.60	9.40	92.28	240.00	6.9	0.00	5.00	M
NYC	2015-01-04 17:51	-73.9693	40.7790	10.00	8.30	89.17	270.00	8.1	0.00	5.00	M
JFK	2015-01-04 17:54	-73.7622	40.6386	11.00	10.00	93.55	180.00	9.2	0.00	2.00	M
JFK	2015-01-04 17:58	-73.7622	40.6386	11.00	10.00	93.55	220.00	8.1	0.00	5.00	M
LGA	2015-01-04 18:02	-73.8803	40.7794	11.00	10.00	93.55	200.00	6.9	0.00	6.00	M
LGA	2015-01-04 18:38	-73.8803	40.7794	11.00	9.00	87.47	250.00	15.0	0.00	5.00	25.3
JFK	2015-01-04 18:51	-73.7622	40.6386	12.20	10.60	89.95	260.00	12.7	0.00	10.00	M
NYC	2015-01-04 18:51	-73.9693	40.7790	10.00	8.90	92.87	M	4.6	0.00	5.00	M
LGA	2015-01-04 18:51	-73.8803	40.7794	11.10	9.40	89.26	250.00	15.0	0.00	5.00	21.9
NYC	2015-01-04 19:13	-73.9693	40.7790	10.60	8.90	89.22	M	3.5	0.00	7.00	M
NYC	2015-01-04 19:51	-73.9693	40.7790	11.10	9.40	89.26	230.00	8.1	0.00	9.00	17.3
LGA	2015-01-04 19:51	-73.8803	40.7794	11.70	10.00	89.31	220.00	15.0	0.00	10.00	24.2
JFK	2015-01-04 19:51	-73.7622	40.6386	12.20	10.00	86.41	240.00	13.8	0.00	10.00	M
NYC	2015-01-04 20:22	-73.9693	40.7790	11.70	9.40	85.78	220.00	8.1	0.00	10.00	M
JFK	2015-01-04 20:22	-73.7622	40.6386	12.00	9.00	81.87	220.00	10.4	0.00	10.00	M
JFK	2015-01-04 20:51	-73.7622	40.6386	11.10	9.40	89.26	210.00	9.2	0.00	10.00	M
LGA	2015-01-04 20:51	-73.8803	40.7794	12.80	10.60	86.47	220.00	13.8	0.00	10.00	23.0
NYC	2015-01-04 20:51	-73.9693	40.7790	12.20	9.40	83.00	M	M	0.00	10.00	M
JFK	2015-01-04 21:51	-73.7622	40.6386	11.10	9.40	89.26	190.00	9.2	0.00	10.00	M
LGA	2015-01-04 21:51	-73.8803	40.7794	13.30	10.60	83.69	210.00	12.7	0.00	10.00	M
NYC	2015-01-04 21:51	-73.9693	40.7790	12.80	10.00	83.08	M	6.9	0.00	10.00	M
LGA	2015-01-04 22:51	-73.8803	40.7794	13.30	11.10	86.52	230.00	11.5	0.00	10.00	M
NYC	2015-01-04 22:51	-73.9693	40.7790	12.80	10.00	83.08	M	4.6	0.00	10.00	M
JFK	2015-01-04 22:51	-73.7622	40.6386	10.60	8.90	89.22	200.00	8.1	0.00	9.00	M
NYC	2015-01-04 23:30	-73.9693	40.7790	13.30	10.00	80.40	250.00	6.9	0.00	10.00	M
NYC	2015-01-04 23:39	-73.9693	40.7790	12.80	10.00	83.08	M	4.6	0.00	10.00	M
NYC	2015-01-04 23:51	-73.9693	40.7790	12.80	10.00	83.08	M	6.9	0.00	10.00	M
JFK	2015-01-04 23:51	-73.7622	40.6386	10.00	8.90	92.87	230.00	6.9	0.00	10.00	M
LGA	2015-01-04 23:51	-73.8803	40.7794	13.30	10.60	83.69	270.00	10.4	0.00	10.00	M
JFK	2015-01-05 00:25	-73.7622	40.6386	10.00	9.00	93.50	0.00	0.0	0.00	10.00	M
JFK	2015-01-05 00:41	-73.7622	40.6386	10.00	9.00	93.50	160.00	4.6	0.00	8.00	M
NYC	2015-01-05 00:51	-73.9693	40.7790	11.70	10.00	89.31	250.00	5.8	0.25	5.00	M
JFK	2015-01-05 00:51	-73.7622	40.6386	10.00	8.30	89.17	150.00	4.6	0.25	8.00	M
LGA	2015-01-05 00:51	-73.8803	40.7794	12.20	10.60	89.95	250.00	12.7	0.25	3.00	M
JFK	2015-01-05 01:09	-73.7622	40.6386	12.00	10.00	87.56	280.00	10.4	2.03	2.50	M
LGA	2015-01-05 01:15	-73.8803	40.7794	12.00	11.00	93.60	250.00	10.4	0.76	10.00	M
NYC	2015-01-05 01:18	-73.9693	40.7790	11.70	10.00	89.31	M	6.9	0.25	6.00	M
JFK	2015-01-05 01:38	-73.7622	40.6386	12.00	11.00	93.60	280.00	13.8	0.00	10.00	M
JFK	2015-01-05 01:51	-73.7622	40.6386	12.20	10.00	86.41	280.00	16.1	4.32	10.00	24.2
NYC	2015-01-05 01:51	-73.9693	40.7790	11.70	8.90	82.94	M	4.6	1.27	8.00	18.4
LGA	2015-01-05 01:51	-73.8803	40.7794	12.20	8.90	80.25	260.00	17.3	2.03	7.00	23.0
JFK	2015-01-05 02:51	-73.7622	40.6386	12.20	8.30	77.06	270.00	18.4	1.27	10.00	M
LGA	2015-01-05 02:51	-73.8803	40.7794	11.70	7.20	73.89	270.00	20.7	0.00	10.00	29.9
NYC	2015-01-05 02:51	-73.9693	40.7790	11.10	7.20	76.88	290.00	8.1	0.25	10.00	21.9
NYC	2015-01-05 03:51	-73.9693	40.7790	10.60	3.30	60.60	290.00	13.8	0.00	10.00	27.6
LGA	2015-01-05 03:51	-73.8803	40.7794	11.10	3.90	61.15	270.00	24.2	0.00	10.00	33.4
JFK	2015-01-05 03:51	-73.7622	40.6386	11.70	6.10	68.50	270.00	21.9	0.00	10.00	28.8
LGA	2015-01-05 04:51	-73.8803	40.7794	10.60	-1.10	44.16	270.00	24.2	0.00	10.00	40.3
JFK	2015-01-05 04:51	-73.7622	40.6386	10.60	2.80	58.49	290.00	26.5	0.00	10.00	35.7
NYC	2015-01-05 04:51	-73.9693	40.7790	10.00	-2.80	40.55	280.00	18.4	0.00	10.00	46.0
NYC	2015-01-05 05:51	-73.9693	40.7790	8.30	-3.30	43.81	290.00	10.4	0.00	10.00	25.3
JFK	2015-01-05 05:51	-73.7622	40.6386	9.40	-2.80	42.22	280.00	28.8	0.00	10.00	41.4
LGA	2015-01-05 05:51	-73.8803	40.7794	9.40	-2.20	44.14	280.00	19.6	0.00	10.00	36.8
LGA	2015-01-05 06:51	-73.8803	40.7794	8.30	-2.80	45.48	280.00	23.0	0.00	10.00	31.1
NYC	2015-01-05 06:51	-73.9693	40.7790	7.80	-2.80	47.05	M	M	0.00	10.00	M
JFK	2015-01-05 06:51	-73.7622	40.6386	8.30	-2.20	47.54	270.00	20.7	0.00	10.00	28.8
JFK	2015-01-05 07:51	-73.7622	40.6386	7.80	-3.30	45.33	280.00	20.7	0.00	10.00	34.5
NYC	2015-01-05 07:51	-73.9693	40.7790	6.70	-3.30	48.87	280.00	10.4	0.00	10.00	26.5
LGA	2015-01-05 07:51	-73.8803	40.7794	7.20	-2.20	51.24	280.00	20.7	0.00	10.00	29.9
NYC	2015-01-05 08:51	-73.9693	40.7790	6.10	-4.40	46.91	290.00	12.7	0.00	10.00	25.3
JFK	2015-01-05 08:51	-73.7622	40.6386	6.70	-3.90	46.73	260.00	17.3	0.00	10.00	33.4
LGA	2015-01-05 08:51	-73.8803	40.7794	6.70	-3.90	46.73	250.00	12.7	0.00	10.00	29.9
LGA	2015-01-05 09:51	-73.8803	40.7794	5.60	-3.90	50.42	260.00	20.7	0.00	10.00	33.4
JFK	2015-01-05 09:51	-73.7622	40.6386	5.60	-3.90	50.42	280.00	17.3	0.00	10.00	25.3
NYC	2015-01-05 09:51	-73.9693	40.7790	5.60	-4.40	48.56	280.00	9.2	0.00	10.00	25.3
LGA	2015-01-05 10:51	-73.8803	40.7794	5.00	-4.40	50.63	270.00	25.3	0.00	10.00	33.4
JFK	2015-01-05 10:51	-73.7622	40.6386	5.60	-3.90	50.42	270.00	16.1	0.00	10.00	28.8
NYC	2015-01-05 10:51	-73.9693	40.7790	5.00	-5.00	48.39	290.00	16.1	0.00	10.00	29.9
NYC	2015-01-05 11:51	-73.9693	40.7790	5.00	-7.80	39.05	290.00	12.7	0.00	10.00	28.8
LGA	2015-01-05 11:51	-73.8803	40.7794	5.00	-7.20	40.90	280.00	19.6	0.00	10.00	29.9
JFK	2015-01-05 11:51	-73.7622	40.6386	5.00	-5.60	46.23	270.00	21.9	0.00	10.00	29.9
JFK	2015-01-05 12:51	-73.7622	40.6386	4.40	-6.70	44.33	270.00	21.9	0.00	10.00	31.1
LGA	2015-01-05 12:51	-73.8803	40.7794	3.90	-8.30	40.57	280.00	25.3	0.00	10.00	34.5
NYC	2015-01-05 12:51	-73.9693	40.7790	3.90	-8.90	38.72	290.00	15.0	0.00	10.00	27.6
LGA	2015-01-05 13:51	-73.8803	40.7794	4.40	-7.80	40.72	270.00	19.6	0.00	10.00	29.9
JFK	2015-01-05 13:51	-73.7622	40.6386	4.40	-7.20	42.65	270.00	20.7	0.00	10.00	34.5
NYC	2015-01-05 13:51	-73.9693	40.7790	3.90	-8.90	38.72	270.00	13.8	0.00	10.00	32.2
LGA	2015-01-05 14:51	-73.8803	40.7794	3.30	-8.90	40.39	280.00	24.2	0.00	10.00	35.7
JFK	2015-01-05 14:51	-73.7622	40.6386	4.40	-8.90	37.38	270.00	25.3	0.00	10.00	34.5
NYC	2015-01-05 14:51	-73.9693	40.7790	3.30	-9.40	38.84	270.00	6.9	0.00	10.00	28.8
LGA	2015-01-05 15:51	-73.8803	40.7794	2.80	-13.90	28.07	280.00	24.2	0.00	10.00	40.3
NYC	2015-01-05 15:51	-73.9693	40.7790	2.20	-16.10	24.43	290.00	16.1	0.00	10.00	38.0
JFK	2015-01-05 15:51	-73.7622	40.6386	3.90	-12.80	28.40	280.00	24.2	0.00	10.00	34.5
JFK	2015-01-05 16:51	-73.7622	40.6386	3.90	-13.90	25.97	280.00	23.0	0.00	10.00	32.2
LGA	2015-01-05 16:51	-73.8803	40.7794	2.20	-14.40	28.12	300.00	27.6	0.00	10.00	38.0
NYC	2015-01-05 16:51	-73.9693	40.7790	2.20	-15.00	26.76	M	6.9	0.00	10.00	26.5
JFK	2015-01-05 17:51	-73.7622	40.6386	3.30	-13.90	27.09	290.00	23.0	0.00	10.00	34.5
NYC	2015-01-05 17:51	-73.9693	40.7790	2.20	-14.40	28.12	280.00	9.2	0.00	10.00	19.6
LGA	2015-01-05 17:51	-73.8803	40.7794	1.70	-12.80	33.19	300.00	21.9	0.00	10.00	33.4
JFK	2015-01-05 18:51	-73.7622	40.6386	3.30	-15.60	23.56	290.00	23.0	0.00	10.00	32.2
LGA	2015-01-05 18:51	-73.8803	40.7794	2.20	-13.90	29.29	300.00	24.2	0.00	10.00	29.9
NYC	2015-01-05 18:51	-73.9693	40.7790	2.20	-15.60	25.47	M	M	0.00	10.00	M
NYC	2015-01-05 19:51	-73.9693	40.7790	1.10	-16.10	26.43	M	6.9	0.00	10.00	26.5
LGA	2015-01-05 19:51	-73.8803	40.7794	1.70	-14.40	29.14	300.00	19.6	0.00	10.00	33.4
JFK	2015-01-05 19:51	-73.7622	40.6386	2.20	-15.60	25.47	300.00	21.9	0.00	10.00	28.8
LGA	2015-01-05 20:51	-73.8803	40.7794	0.60	-12.80	35.92	300.00	19.6	0.00	10.00	24.2
JFK	2015-01-05 20:51	-73.7622	40.6386	1.10	-14.40	30.42	300.00	15.0	0.00	10.00	32.2
NYC	2015-01-05 20:51	-73.9693	40.7790	0.60	-13.90	32.85	290.00	15.0	0.00	10.00	25.3
NYC	2015-01-05 21:51	-73.9693	40.7790	0.00	-17.20	26.11	290.00	10.4	0.00	10.00	26.5
JFK	2015-01-05 21:51	-73.7622	40.6386	0.60	-13.30	34.50	310.00	15.0	0.00	10.00	M
LGA	2015-01-05 21:51	-73.8803	40.7794	0.00	-16.10	28.62	290.00	24.2	0.00	10.00	33.4
JFK	2015-01-05 22:51	-73.7622	40.6386	0.00	-17.80	24.82	310.00	16.1	0.00	10.00	24.2
NYC	2015-01-05 22:51	-73.9693	40.7790	-1.10	-15.00	33.97	310.00	13.8	0.00	10.00	21.9
LGA	2015-01-05 22:51	-73.8803	40.7794	-1.10	-12.80	40.65	320.00	21.9	0.00	10.00	M
JFK	2015-01-05 23:51	-73.7622	40.6386	-1.10	-15.60	32.32	300.00	21.9	0.00	10.00	26.5
NYC	2015-01-05 23:51	-73.9693	40.7790	-1.70	-17.20	29.56	310.00	9.2	0.00	10.00	20.7
LGA	2015-01-05 23:51	-73.8803	40.7794	-1.70	-15.00	35.50	310.00	25.3	0.00	10.00	28.8
NYC	2015-01-06 00:51	-73.9693	40.7790	-2.80	-19.40	26.60	300.00	11.5	0.00	10.00	25.3
JFK	2015-01-06 00:51	-73.7622	40.6386	-2.20	-18.90	26.56	310.00	17.3	0.00	10.00	M
LGA	2015-01-06 00:51	-73.8803	40.7794	-2.80	-16.10	35.15	320.00	20.7	0.00	10.00	28.8
JFK	2015-01-06 01:51	-73.7622	40.6386	-2.80	-18.90	27.77	320.00	21.9	0.00	10.00	27.6
LGA	2015-01-06 01:51	-73.8803	40.7794	-3.90	-14.40	43.91	320.00	18.4	0.00	10.00	25.3
NYC	2015-01-06 01:51	-73.9693	40.7790	-3.90	-16.70	36.30	M	3.5	0.00	10.00	18.4
LGA	2015-01-06 02:51	-73.8803	40.7794	-5.00	-15.00	45.41	330.00	13.8	0.00	10.00	M
NYC	2015-01-06 02:51	-73.9693	40.7790	-5.00	-17.80	35.95	300.00	5.8	0.00	10.00	18.4
JFK	2015-01-06 02:51	-73.7622	40.6386	-4.40	-18.30	32.93	330.00	15.0	0.00	10.00	M
LGA	2015-01-06 03:51	-73.8803	40.7794	-5.60	-16.10	43.38	330.00	13.8	0.00	10.00	M
NYC	2015-01-06 03:51	-73.9693	40.7790	-5.60	-17.80	37.62	320.00	8.1	0.00	10.00	M
JFK	2015-01-06 03:51	-73.7622	40.6386	-5.00	-16.70	39.43	340.00	10.4	0.00	10.00	M
JFK	2015-01-06 04:51	-73.7622	40.6386	-5.00	-19.40	31.37	290.00	15.0	0.00	10.00	25.3
LGA	2015-01-06 04:51	-73.8803	40.7794	-5.60	-15.60	45.22	320.00	15.0	0.00	10.00	23.0
